Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29305-28095,RB,Thomas,Thomas Rawls,Rawls,3.066666709,9,4500,TB@CIN,CIN,TB,,,
29305-55750,WR,Chris,Chris Lacy,Lacy,0,0,4500,SEA@DET,DET,SEA,,,
29305-26057,RB,Michael,Michael Burton,Burton,1.100000024,1,4500,NYJ@CHI,CHI,NYJ,,,
29305-28106,RB,Joe,Joe Kerridge,Kerridge,0.800000012,1,4500,GB@LAR,GB,LAR,,,
29305-57803,WR,Jordan,Jordan Lasley,Lasley,0,0,4500,BAL@CAR,BAL,CAR,,,
29305-21972,WR,Brian,Brian Quick,Quick,1.649999976,2,4500,WAS@NYG,WAS,NYG,,,
29305-27096,WR,Marcus,Marcus Lucas,Lucas,0,0,4500,SEA@DET,SEA,DET,,,
29305-14820,RB,Nick,Nick Bellore,Bellore,0,1,4500,SEA@DET,DET,SEA,,,
29305-32235,WR,Marcus,Marcus Johnson,Johnson,4.75,4,4500,IND@OAK,IND,OAK,IR,Ankle,
29305-41480,RB,Lavon,Lavon Coleman,Coleman,0,0,4500,SEA@DET,SEA,DET,,,
29305-6672,TE,Marcedes,Marcedes Lewis,Lewis,0,1,4500,GB@LAR,GB,LAR,,,
29305-22048,RB,Robert,Robert Turbin,Turbin,-0.100000001,2,4500,IND@OAK,IND,OAK,D,Shoulder,
29305-25122,WR,Amba,Amba Etta-Tawo,Etta-Tawo,0,0,4500,WAS@NYG,NYG,WAS,,,
29305-38441,RB,Justin,Justin Davis,Davis,0.100000001,1,4500,GB@LAR,LAR,GB,,,
29305-46633,WR,Keenan,Keenan Reynolds,Reynolds,0,0,4500,SEA@DET,SEA,DET,,,
29305-57900,RB,Quinton,Quinton Flowers,Flowers,0,0,4500,TB@CIN,CIN,TB,,,
29305-64070,WR,Tim,Tim White,White,0.633333325,3,4500,BAL@CAR,BAL,CAR,,,
29305-52808,RB,Dontrell,Dontrell Hilliard,Hilliard,0,2,4500,CLE@PIT,CLE,PIT,,,
